time,population,populationW,populationM
1821-01-01T00:00:00Z,1244,,
1848-01-01T00:00:00Z,1963,,
1871-01-01T00:00:00Z,2179,,
1885-01-01T00:00:00Z,2145,,
1885-01-01T00:00:00Z,2117,,
1905-01-01T00:00:00Z,2091,,
1910-12-01T00:00:00Z,1823,,
1917-12-05T00:00:00Z,1437,,
1919-10-08T00:00:00Z,1843,1020,823
1925-06-01T00:00:00Z,2641,1510,1131
1933-01-01T00:00:00Z,1947,,
1939-01-01T00:00:00Z,2505,,
1946-01-01T00:00:00Z,2744,,
1950-01-01T00:00:00Z,2717,,
1956-01-01T00:00:00Z,2442,,
1961-01-01T00:00:00Z,2304,,
1968-12-31T00:00:00Z,2209,,
1970-12-31T00:00:00Z,2250,,
1975-12-31T00:00:00Z,2500,,
1980-12-31T00:00:00Z,2522,,
1985-12-31T00:00:00Z,2541,,
1990-12-31T00:00:00Z,2405,,
1995-12-31T00:00:00Z,2287,,
2000-12-31T00:00:00Z,2146,,
2005-12-31T00:00:00Z,1980,,
2010-12-31T00:00:00Z,1789,,
2013-12-31T00:00:00Z,1643,,
2018-01-01T00:00:00Z,1758,,
