time,population,populationW,populationM
1821-01-01T00:00:00Z,11757,,
1848-01-01T00:00:00Z,14739,,
1871-01-01T00:00:00Z,14080,,
1885-01-01T00:00:00Z,13917,,
1905-01-01T00:00:00Z,13758,,
1919-01-01T00:00:00Z,11418,,
1925-01-01T00:00:00Z,12973,6601,6370
1925-01-01T00:00:00Z,12971,6601,6370
1925-06-01T00:00:00Z,12971,6601,6370
1933-01-01T00:00:00Z,11855,,
1939-01-01T00:00:00Z,11788,,
1946-01-01T00:00:00Z,15786,,
1950-01-01T00:00:00Z,17643,,
1956-01-01T00:00:00Z,15585,,
1961-01-01T00:00:00Z,15849,,
1968-12-31T00:00:00Z,16468,,
1970-12-31T00:00:00Z,15714,,
1975-12-31T00:00:00Z,16690,,
1980-12-31T00:00:00Z,16270,,
1985-12-31T00:00:00Z,16250,,
1990-12-31T00:00:00Z,17061,,
1995-12-31T00:00:00Z,16703,,
2000-12-31T00:00:00Z,15413,,
2005-12-31T00:00:00Z,15075,,
2010-12-31T00:00:00Z,14579,,
2011-12-31T00:00:00Z,12798,,
2012-12-31T00:00:00Z,12772,,
2013-12-31T00:00:00Z,12923,,
2015-12-31T00:00:00Z,15818,,
2016-12-31T00:00:00Z,15523,,
2017-12-31T00:00:00Z,15563,,
