time,population,populationW,populationM
1699-01-01T00:00:00Z,6617,,
1700-01-01T00:00:00Z,6407,,
1701-01-01T00:00:00Z,6621,,
1702-01-01T00:00:00Z,6609,,
1703-01-01T00:00:00Z,6746,,
1704-01-01T00:00:00Z,6872,,
1718-01-01T00:00:00Z,6986,,
1719-01-01T00:00:00Z,7223,,
1720-01-01T00:00:00Z,7315,,
1721-01-01T00:00:00Z,7450,,
1722-01-01T00:00:00Z,7776,,
1723-01-01T00:00:00Z,7624,,
1724-01-01T00:00:00Z,7552,,
1725-01-01T00:00:00Z,7192,,
1726-01-01T00:00:00Z,7416,,
1727-01-01T00:00:00Z,7676,,
1728-01-01T00:00:00Z,7888,,
1729-01-01T00:00:00Z,7907,,
1730-01-01T00:00:00Z,8081,,
1732-01-01T00:00:00Z,8691,,
1734-01-01T00:00:00Z,8828,,
1735-01-01T00:00:00Z,8765,,
1910-12-01T00:00:00Z,8266,,
1917-12-05T00:00:00Z,6592,,
1919-10-08T00:00:00Z,7741,4248,3493
