time,population,populationW,populationM
1795-01-01T00:00:00Z,3011,,
1821-01-01T00:00:00Z,3611,,
1848-01-01T00:00:00Z,4471,,
1871-01-01T00:00:00Z,3370,,
1885-01-01T00:00:00Z,3315,,
1889-01-01T00:00:00Z,3240,,
1905-01-01T00:00:00Z,3760,,
1910-12-01T00:00:00Z,3665,,
1912-01-01T00:00:00Z,3666,,
1917-12-05T00:00:00Z,2921,,
1919-10-08T00:00:00Z,3365,1893,1472
1925-06-01T00:00:00Z,3988,2155,1833
1933-01-01T00:00:00Z,3279,,
1939-01-01T00:00:00Z,3351,,
1946-01-01T00:00:00Z,4799,,
1950-01-01T00:00:00Z,4806,,
1956-01-01T00:00:00Z,4270,,
1961-01-01T00:00:00Z,4096,,
1968-01-01T00:00:00Z,3632,,
1970-01-01T00:00:00Z,3404,,
1975-01-01T00:00:00Z,3300,,
1980-01-01T00:00:00Z,2990,,
1985-01-01T00:00:00Z,2675,,
1990-01-01T00:00:00Z,2817,,
1995-01-01T00:00:00Z,2635,,
2000-01-01T00:00:00Z,2339,,
2005-01-01T00:00:00Z,2043,,
2010-01-01T00:00:00Z,1719,,
2016-11-17T00:00:00Z,1745,,
2018-06-30T00:00:00Z,1598,,
2018-12-31T00:00:00Z,1601,,
