time,population,populationW,populationM
1821-01-01T00:00:00Z,990,,
1848-01-01T00:00:00Z,1242,,
1871-01-01T00:00:00Z,1276,,
1885-01-01T00:00:00Z,1381,,
1905-01-01T00:00:00Z,1407,,
1905-12-31T00:00:00Z,1146,,
1910-12-01T00:00:00Z,1560,,
1917-12-05T00:00:00Z,1258,,
1919-10-08T00:00:00Z,1488,758,660
1925-01-01T00:00:00Z,1449,,
1925-01-01T00:00:00Z,1420,,
1925-06-01T00:00:00Z,1859,1026,833
1933-01-01T00:00:00Z,1419,,
1939-01-01T00:00:00Z,1398,,
1946-01-01T00:00:00Z,2089,,
1950-01-01T00:00:00Z,2091,,
1956-01-01T00:00:00Z,1823,,
1961-01-01T00:00:00Z,1725,,
1968-12-31T00:00:00Z,1700,,
1970-12-31T00:00:00Z,1506,,
1975-12-31T00:00:00Z,1446,,
1980-12-31T00:00:00Z,1416,,
1985-12-31T00:00:00Z,1368,,
1990-12-31T00:00:00Z,1377,,
1995-12-31T00:00:00Z,1365,,
2000-12-31T00:00:00Z,1190,,
2010-12-31T00:00:00Z,1052,,
2012-12-31T00:00:00Z,927,,
2013-12-31T00:00:00Z,918,,
2018-01-01T00:00:00Z,786,,
